2022-05-15 18:42:12.533 ERROR [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.controller.AuthorizationController   : EXCEPTION - generateToken
2022-05-15 18:42:12.537  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.exception.ControllerAdviceClass      : STARTED - controllerAdviceResponse
2022-05-15 18:42:12.541  INFO [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] c.c.exception.ControllerAdviceClass      : END - controllerAdviceResponse
2022-05-15 18:42:12.572  WARN [authorizationService,acdcd64ad1ab2554,6dcc7af0823b8106] 8440 --- [http-nio-9090-exec-2] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFound: user not found]
2022-05-15 18:42:12.688  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:12.688  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:42:12.690  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:42:12.691 ERROR [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.service.CustomUserDetailService      : ERROR-username not found
2022-05-15 18:42:12.691 ERROR [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.controller.AuthorizationController   : EXCEPTION - generateToken
2022-05-15 18:42:12.692  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.exception.ControllerAdviceClass      : STARTED - controllerAdviceResponse
2022-05-15 18:42:12.692  INFO [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] c.c.exception.ControllerAdviceClass      : END - controllerAdviceResponse
2022-05-15 18:42:12.696  WARN [authorizationService,c91a8e47d6883db6,2e1a2c950a6db23c] 8440 --- [http-nio-9090-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFound: user not found]
2022-05-15 18:42:21.334  INFO [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : STARTED - generateToken
2022-05-15 18:42:21.335  INFO [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : STARTED - loadUserByUsername
2022-05-15 18:42:21.336  INFO [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : END - loadUserByUsername
2022-05-15 18:42:21.337 ERROR [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.service.CustomUserDetailService      : ERROR-username not found
2022-05-15 18:42:21.338 ERROR [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.controller.AuthorizationController   : EXCEPTION - generateToken
2022-05-15 18:42:21.338  INFO [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.exception.ControllerAdviceClass      : STARTED - controllerAdviceResponse
2022-05-15 18:42:21.339  INFO [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] c.c.exception.ControllerAdviceClass      : END - controllerAdviceResponse
2022-05-15 18:42:21.343  WARN [authorizationService,4aa9cd9b49110bc2,0236698f13fafd45] 8440 --- [http-nio-9090-exec-4] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [com.cognizant.exception.ResourceNotFound: user not found]
